TrustCent	TrustProv	TrustLocal	V7B	Peking	year_88_89	year_87_90	year_86_91	year_85_92	year_84_93	year_84_94	Female	marriage	T	start_year	method	Age_Enter_college	V01a	V23	V4a	Education	CCP	GovtJob	Income2	X_c	X2	X3	DX	DX2	DX3	D	method.1	birth_date
3.0	8.0	4.0	5.0	0.0		1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1990.0	4.0	19.75	2.0	2.0	1.0	1.0	0.0	0.0	4.0	0.331506849315019	0.109896791142771	0.0364315389815707	0.0	0.0	0.0	0.0	4.0	1971.77447503386
10.0	8.0	3.0	1.0	0.0		1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1990.0	4.0	19.9166259765625	3.0	2.0	2.0	2.0	1.0	1.0	3.0	0.164880872752519	0.0271857021996325	0.00448240230506548	0.0	0.0	0.0	0.0	4.0	1971.495838698
10.0	8.0	4.0	4.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1988.0	2.0	18.6666259765625	2.0	2.0	1.0	1.0	1.0	1.0	2.0	-0.585119127247481	0.342364393070854	-0.200323954874231	-0.585119127247481	0.342364393070854	-0.200323954874231	1.0	2.0	1970.82642470347
7.0	10.0	4.0	5.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1988.0	4.0	18.0	3.0	2.0	1.0	1.0	0.0	1.0	3.0	0.0815068493150193	0.00664336648526126	5.41479871058639E-4	0.0	0.0	0.0	0.0	4.0	1969.98936667945
1.0	5.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1989.0	4.0	19.1666259765625	1.0	2.0	1.0	1.0	0.0	0.0	3.0	-0.0851191272474807	0.00724526582337281	-6.16710703561494E-4	-0.0851191272474807	0.00724526582337281	-6.16710703561494E-4	1.0	4.0	1969.67958514346
6.0	2.0	0.0	3.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1988.0	2.0	18.25	3.0	2.0	3.0	3.0	1.0	1.0	5.0	-0.168493150684981	0.0283899418277516	-0.00478351074632119	-0.168493150684981	0.0283899418277516	-0.00478351074632119	1.0	2.0	1969.84963605879
5.0	5.0	5.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1988.0	2.0	18.3333740234375	3.0	2.0	2.0	2.0	0.0	1.0	2.0	-0.251867174122481	0.063437073400444	-0.0159777164119702	-0.251867174122481	0.063437073400444	-0.0159777164119702	1.0	2.0	1970.40808398975
2.0	1.0	0.0	4.0	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1987.0	2.0	17.6666259765625	2.0	2.0	2.0	2.0	0.0	0.0	9.0	-0.585119127247481	0.342364393070854	-0.200323954874231	-0.585119127247481	0.342364393070854	-0.200323954874231	1.0	2.0	1970.76832379866
4.0	4.0	4.0	4.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1988.0	2.0	18.6666259765625	3.0	2.0	2.0	2.0	1.0	0.0	9.0	-0.585119127247481	0.342364393070854	-0.200323954874231	-0.585119127247481	0.342364393070854	-0.200323954874231	1.0	2.0	1970.60662771808
1.0	1.0	0.0	4.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1988.0	2.0	18.3333740234375	3.0	2.0	2.0	2.0	1.0	1.0	3.0	-0.251867174122481	0.063437073400444	-0.0159777164119702	-0.251867174122481	0.063437073400444	-0.0159777164119702	1.0	2.0	1970.24080103682
10.0	4.0	8.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1988.0	4.0	18.75	3.0	2.0	1.0	1.0	0.0	0.0	4.0	-0.668493150684981	0.446883092512732	-0.298738286501684	-0.668493150684981	0.446883092512732	-0.298738286501684	1.0	4.0	1969.30319679575
5.0	5.0	3.0	5.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1988.0	2.0	18.75	1.0	2.0	1.0	1.0	1.0	0.0	7.0	-0.668493150684981	0.446883092512732	-0.298738286501684	-0.668493150684981	0.446883092512732	-0.298738286501684	1.0	2.0	1969.77911091689
1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1988.0	2.0	18.9166259765625	1.0	2.0	1.0	1.0	1.0	0.0	2.0	-0.835119127247481	0.697423956694594	-0.582432086036274	-0.835119127247481	0.697423956694594	-0.582432086036274	1.0	2.0	1969.55377792381
3.0	8.0	6.0	3.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1988.0	4.0	19.1666259765625	2.0	2.0	1.0	1.0	0.0	0.0	4.0	-1.08511912724748	1.17748352031833	-1.27770988991612	-1.08511912724748	1.17748352031833	-1.27770988991612	1.0	4.0	1970.50384472078
5.0	10.0	6.0	4.0	0.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1987.0	4.0	18.1666259765625	2.0	2.0	3.0	3.0	0.0	1.0	4.0	-1.08511912724748	1.17748352031833	-1.27770988991612	-1.08511912724748	1.17748352031833	-1.27770988991612	1.0	4.0	1969.94010073086
10.0	10.0	1.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1988.0	4.0	19.25	1.0	2.0	2.0	2.0	0.0	0.0	3.0	-1.16849315068498	1.36537624319771	-1.59543278828452	-1.16849315068498	1.36537624319771	-1.59543278828452	1.0	4.0	1969.52460451843
5.0	1.0	5.0	2.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1988.0	4.0	19.25	1.0	1.0	1.0	1.0	0.0	1.0	3.0	-1.16849315068498	1.36537624319771	-1.59543278828452	-1.16849315068498	1.36537624319771	-1.59543278828452	1.0	4.0	1968.91961124353
8.0	4.0	2.0	4.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1989.0	4.0	20.4166259765625	2.0	2.0	3.0	3.0	0.0	0.0	5.0	-1.33511912724748	1.78254308394207	-2.37990736651378	-1.33511912724748	1.78254308394207	-2.37990736651378	1.0	4.0	1969.9706595107
